?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/MONDO_0005815>	"A neoplasm with neuroendocrine differentiation that arises from the pancreas. It includes neuroendocrine tumors (low and intermediate grade) and neuroendocrine carcinomas (high grade)."	"GARD:22052 DOID:1799 EFO:0007331 NCIT:C27031 ICDO:8150/1 Orphanet:506052 SCTID:254611009"
<https://github.com/bmir-radx/gcbo/EthnicitySection>		
<http://purl.obolibrary.org/obo/PATO_0001300>		
<http://purl.obolibrary.org/obo/UBERON_0014387>		
<http://purl.obolibrary.org/obo/MONDO_0006918>	"Inflammation of the choroid as well as the retina and vitreous body. Some form of visual disturbance is usually present. The most important characteristics of posterior uveitis are vitreous opacities, choroiditis, and chorioretinitis."	"DOID:12574 SCTID:43363007 UMLS:C0042167 MedDRA:10036370 MESH:D015866 SCTID:46627006 NCIT:C35111 EFO:1001119 Orphanet:280892"
<http://purl.obolibrary.org/obo/NBO_0000001>	"A change of place or position of part of an organism that does not involve the entire organism [NBO:SMAC]"	
<http://purl.obolibrary.org/obo/GO_0015031>		
<http://purl.obolibrary.org/obo/UBERON_0000111>		
<http://purl.obolibrary.org/obo/CHEBI_167559>	"Any oligosaccharide, polysaccharide or their derivatives consisting of monosaccharides or monosaccharide derivatives linked by glycosidic bonds. See also http://www.ontobee.org/ontology/GNO?iri=http://purl.obolibrary.org/obo/GNO_00000001."	
<http://purl.obolibrary.org/obo/UBERON_0004864>		
<http://purl.obolibrary.org/obo/NBO_0000007>	"The act of moving any of the tissues and hard structures surrounding the mouth other than teeth, jaws or filter structures [NBO:AC]"	
<http://purl.obolibrary.org/obo/UBERON_0002203>		
<http://purl.obolibrary.org/obo/UBERON_0004997>		
<http://purl.obolibrary.org/obo/GO_0042589>		
<http://purl.obolibrary.org/obo/PATO_0002014>		
<http://purl.obolibrary.org/obo/UBERON_0001005>		
<http://purl.obolibrary.org/obo/NCIT_C36122>	"A morphologic finding indicating the presence of a cellular infiltrate without atypia in a tumor sample."	
<http://purl.obolibrary.org/obo/MONDO_0021228>	"A neoplasm (disease) that involves the brainstem."	"NCIT:C4869 Orphanet:36414"
<http://purl.obolibrary.org/obo/MONDO_0002658>	"A malignant neoplasm involving the iris."	"NCIT:C4554 EFO:1000996 UMLS:C0346372 DOID:3478 SCTID:188264002"
<http://purl.obolibrary.org/obo/GO_0098754>		
<http://purl.obolibrary.org/obo/HP_0025153>	"Short-lived and not permanent. This term applies to a phenotypic abnormality that is temporary and of short duration."	
<http://purl.obolibrary.org/obo/UBERON_0011585>		
<http://purl.obolibrary.org/obo/UBERON_0000112>		
<http://purl.obolibrary.org/obo/UBERON_0006955>		
<http://purl.obolibrary.org/obo/HP_0100659>		
<http://purl.obolibrary.org/obo/UBERON_0004732>		
<http://purl.obolibrary.org/obo/UBERON_0004998>		
<http://purl.obolibrary.org/obo/HP_0002315>		
<http://purl.obolibrary.org/obo/MONDO_0002807>	"Tumors or cancer of the bronchi."	"EFO:1000849 DOID:3906 MESH:D001984 UMLS:C0006264 SCTID:126705004 HP:0030077"
<http://purl.obolibrary.org/obo/UBERON_0001137>		
<http://purl.obolibrary.org/obo/UBERON_0001004>		
<http://purl.obolibrary.org/obo/UBERON_0009145>		
<http://purl.obolibrary.org/obo/MONDO_0001429>	"Arthropathy that is not permanent."	"SCTID:66191007 ICD9:716.48 ICD9:716.41 ICD9:716.40 UMLS:C0152083 DOID:12084 NCIT:C35761"
<http://purl.obolibrary.org/obo/UBERON_0001008>		
<http://purl.obolibrary.org/obo/MONDO_0100547>	"A heterogeneous group of genetic conditions, with Mendelian (autosomal dominant, recessive, or X-linked) or chromosomal etiology that are characterized by abnormalities in the cardiovascular system."	
<http://purl.obolibrary.org/obo/CL_1000410>		
<http://purl.obolibrary.org/obo/PATO_0000052>		
<http://purl.obolibrary.org/obo/NCBITaxon_8506>		
<http://purl.obolibrary.org/obo/MONDO_0024653>	"A benign or malignant neoplasm that affects the bones and structures of the skull."	"NCIT:C3375 UMLS:C0037305 SCTID:126538005 MESH:D012888 ICD9:239.2"
<http://purl.obolibrary.org/obo/NCBITaxon_32443>		
<http://purl.obolibrary.org/obo/UBERON_0004733>		
<http://purl.obolibrary.org/obo/UBERON_0001007>		
<http://purl.obolibrary.org/obo/UBERON_0009581>		
<http://purl.obolibrary.org/obo/CL_0002032>		
<http://purl.obolibrary.org/obo/CHEBI_51422>	"Any organic substituent group, regardless of functional type, having two free valences at carbon atom(s)."	
<http://purl.obolibrary.org/obo/CL_0000071>		
<http://purl.obolibrary.org/obo/MONDO_0004785>	"Inflammation of the eyelids near the eyelashes."	"ICD9:373.9 ICD9:373.00 MESH:D001762 ICD10CM:H01.0 NCIT:C112183 SCTID:41446000 DOID:9423 ICD9:373.4 ICD9:373.0 UMLS:C0005741 ICD9:373.8"
<http://purl.obolibrary.org/obo/MONDO_0021581>	"Neoplasms composed of connective tissue, including elastic, mucous, reticular, osseous, and cartilaginous tissue. The concept does not refer to neoplasms located in connective tissue."	"ICD9:239.2 UMLS:C0027656 MESH:D009372 SCTID:126598008"
<http://purl.obolibrary.org/obo/GO_0042588>		
<http://purl.obolibrary.org/obo/UBERON_0000110>		
<http://purl.obolibrary.org/obo/NCBITaxon_7878>		
<http://purl.obolibrary.org/obo/CHEBI_51086>	"A role played by the molecular entity or part thereof within a chemical context."	
<http://purl.obolibrary.org/obo/UBERON_0004734>		
<http://purl.obolibrary.org/obo/UBERON_0002204>		
<http://purl.obolibrary.org/obo/NCBITaxon_8507>		
<http://purl.obolibrary.org/obo/GO_0043217>		
<http://purl.obolibrary.org/obo/CL_0002031>		
<http://purl.obolibrary.org/obo/MONDO_0044937>	"A malignant epithelial neoplasm that arises from the rectum and invades through the muscularis mucosa into the submucosa. The vast majority are adenocarcinomas."	"NCIT:C9382"
<http://purl.obolibrary.org/obo/MONDO_0021634>	"A epithelial neoplasm that involves the zone of skin."	"NCIT:C7342 UMLS:C0345976"
<http://purl.obolibrary.org/obo/MONDO_0021313>	"A cancer that involves the eyelid."	"NCIT:C6786 ICD9:173.1 SCTID:231829006"
<http://purl.obolibrary.org/obo/MONDO_0005131>	"A carcinoma arising from either the exocervical squamous epithelium or the endocervical glandular epithelium. The major histologic types of cervical carcinoma are: squamous carcinoma, adenocarcinoma, adenosquamous carcinoma, adenoid cystic carcinoma and undifferentiated carcinoma."	"EFO:0001061 UMLS:C0302592 SCTID:285432005 DOID:2893 NCIT:C9039"
<http://purl.obolibrary.org/obo/UBERON_0001134>		
<http://purl.obolibrary.org/obo/NCIT_C154329>	"The act of puffing and/or inhaling the combustion products of a substance so as to be tasted and absorbed into the bloodstream."	
<http://purl.obolibrary.org/obo/UBERON_0009891>		
<http://purl.obolibrary.org/obo/MONDO_0019060>	"A benign, intermediate, or malignant neoplasm involving the bone or articular cartilage."	"ICD10CM:C40-C41 Orphanet:68411 GARD:18892 ONCOTREE:BONE NCIT:C9343"
<http://purl.obolibrary.org/obo/UBERON_0011892>		
<http://purl.obolibrary.org/obo/CHEBI_25212>	"Any intermediate or product resulting from metabolism. The term 'metabolite' subsumes the classes commonly known as primary and secondary metabolites."	
<http://purl.obolibrary.org/obo/NCBITaxon_50557>		
<http://purl.obolibrary.org/obo/HP_0003198>		
<http://purl.obolibrary.org/obo/NCBITaxon_10239>		
<http://purl.obolibrary.org/obo/MONDO_0001487>	"A cancer that involves the intrahepatic bile duct."	"DOID:12298 UMLS:C0546835 ICD9:155.1 SCTID:187777008"
<http://purl.obolibrary.org/obo/MONDO_0017341>		"GARD:21145 Orphanet:289635 UMLS:CN203003"
<http://purl.obolibrary.org/obo/UBERON_0002028>		
<http://purl.obolibrary.org/obo/CL_0000558>		
<http://purl.obolibrary.org/obo/GO_0071692>		
<http://purl.obolibrary.org/obo/NCIT_C173398>	"A question about whether an individual has troubles or difficulties doing something."	
<http://purl.obolibrary.org/obo/GO_0034219>		
<http://purl.obolibrary.org/obo/UBERON_0001133>		
<http://purl.obolibrary.org/obo/CHEBI_33256>	"A derivative of an oxoacid RkE(=O)l(OH)m (l =/= 0) in which an acidic hydroxy group has been replaced by an amino or substituted amino group."	
<http://purl.obolibrary.org/obo/MONDO_0024610>	"Skin diseases caused by ARTHROPODS; HELMINTHS; or other parasites."	"MESH:D012876 UMLS:C0037280"
<http://purl.obolibrary.org/obo/UBERON_0000068>		
<http://purl.obolibrary.org/obo/MONDO_0005304>	"A neoplasm that involves the biliary tract."	"ONCOTREE:BILIARYTRACT SCTID:126853008 DOID:0050625 EFO:0003891 HP:0100574"
<http://purl.obolibrary.org/obo/MONDO_0021239>	"A neoplasm (disease) that involves the urethra."	"EFO:0003846 NCIT:C3428"
<http://purl.obolibrary.org/obo/UBERON_0002201>		
<http://purl.obolibrary.org/obo/MONDO_0004625>	"Inflammation of a vein."	"DOID:864 MESH:D010689 SCTID:61599003 EFO:1001395 NCIT:C38003"
<http://purl.obolibrary.org/obo/MONDO_0001657>	"A primary or metastatic malignant neoplasm affecting the brain."	"ICD9:191.8 MESH:D001932 DOID:1319 ICD9:191.9 NCIT:C4952 NCIT:C3568 SCTID:428061005 ICD9:239.6 CSP:2006-2736 ICD9:191"
<http://purl.obolibrary.org/obo/MONDO_0021118>	"A benign or malignant neoplasm involving the small or large intestine."	"NCIT:C3141 ONCOTREE:BOWEL SCTID:126769007 DOID:4610"
<http://purl.obolibrary.org/obo/UBERON_0001136>		
<http://purl.obolibrary.org/obo/UBERON_0019207>		
<http://purl.obolibrary.org/obo/UBERON_0001003>		
<http://purl.obolibrary.org/obo/PATO_0001690>		
<http://purl.obolibrary.org/obo/MONDO_0021017>	"A disease caused by dysfunction of synapses."	
<http://purl.obolibrary.org/obo/UBERON_0000069>		
<http://purl.obolibrary.org/obo/PATO_0070044>	"A quality of continuant that exist at the anatomical level of organisation and anything under it. This includes, but is not limited to, cells , tissues, and components."	
<http://purl.obolibrary.org/obo/UBERON_0005095>		
<http://purl.obolibrary.org/obo/NCIT_C19085>		
<http://purl.obolibrary.org/obo/UBERON_0002200>		
<https://github.com/bmir-radx/gcbo/DomicileSection>		
<http://purl.obolibrary.org/obo/MONDO_0021167>	"An inflammatory disease involving a pathogenic inflammatory response in the muscle tissue."	"SCTID:128496001 EFO:0000783 MESH:D009220 DOID:633 ICD9:728.9 NCIT:C27578"
<http://purl.obolibrary.org/obo/CHEBI_33579>	"A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table."	
<http://purl.obolibrary.org/obo/MONDO_0002038>	"A carcinoma that arises from the head and neck region. Representative examples include oral cavity squamous cell carcinoma, laryngeal squamous cell carcinoma, and salivary gland carcinoma."	"NCIT:C35850 UMLS:C3887461 DOID:1542"
<http://purl.obolibrary.org/obo/HP_0002094>		
<http://purl.obolibrary.org/obo/UBERON_0001135>		
<http://purl.obolibrary.org/obo/GO_0030218>		
<http://purl.obolibrary.org/obo/MONDO_0044338>	"An autoimmune form of primary ovarian failure."	"SCTID:237790001 ICD9:256.39 UMLS:C0342508 ICD9:279.49"
<http://purl.obolibrary.org/obo/UBERON_0000066>		
<http://purl.obolibrary.org/obo/MONDO_0015905>	"A inherited lipid metabolism disorder that is part of a larger syndrome."	"Orphanet:181437 GARD:20232 SCTID:109041000119107"
<http://purl.obolibrary.org/obo/NCIT_C18059>	"Use of tobacco in any form, e.g., smoking, chewing or sniffing."	
<http://purl.obolibrary.org/obo/UBERON_0004117>		
<http://purl.obolibrary.org/obo/UBERON_0001263>		
<http://purl.obolibrary.org/obo/CHEBI_75768>	"Any animal metabolite produced during a metabolic reaction in mammals."	
<http://purl.obolibrary.org/obo/GO_0007154>		
<http://purl.obolibrary.org/obo/GO_0044238>		
<http://purl.obolibrary.org/obo/GO_1901617>		
<http://purl.obolibrary.org/obo/NCBITaxon_1547233>		
<http://purl.obolibrary.org/obo/NBO_0045002>	"The inhalation and exhalation of tobacco smoke."	
<https://github.com/bmir-radx/gcbo/nih_af>		
<http://purl.obolibrary.org/obo/SYMP_0000099>	"A sensation perception that is characterized by an unpleasant sensation that usually indicates the body is threatened or damaged. The sensation may be sharp or dull, short-lived or chronic, intermittent or continual, confined to one area or spread over the entire body."	
<http://purl.obolibrary.org/obo/CL_0010009>		
<http://purl.obolibrary.org/obo/GO_0006921>		
<http://purl.obolibrary.org/obo/CL_0000077>		
<http://purl.obolibrary.org/obo/HP_0000707>		
<http://purl.obolibrary.org/obo/UBERON_0001262>		
<http://purl.obolibrary.org/obo/MONDO_0100191>	"A heterogeneous group of genetic conditions, with Mendelian (autosomal dominant, recessive, or X-linked) or chromosomal etiology that are characterized by abnormalities in the kidney or urinary system."	
<http://purl.obolibrary.org/obo/SYMP_0019163>		
<https://github.com/bmir-radx/gcbo/nih_thyroid>		
<http://purl.obolibrary.org/obo/MONDO_0005334>	"A group of inherited conditions characterized initially by hematuria and slowly progressing to renal insufficiency. The most common form is the Alport syndrome (hereditary nephritis with hearing loss) which is caused by mutations in genes for type IV collagen and defective glomerular basement membrane."	"EFO:0004128 SCTID:399340005 MESH:D009394"
<http://purl.obolibrary.org/obo/UBERON_0002330>		
<http://purl.obolibrary.org/obo/PATO_0001735>		
<http://purl.obolibrary.org/obo/UBERON_0000064>		
<http://purl.obolibrary.org/obo/UBERON_0005753>		
<http://purl.obolibrary.org/obo/CHEBI_38700>		
<http://purl.obolibrary.org/obo/CHEBI_33285>	"A heteroorganic entity is an organic molecular entity in which carbon atoms or organic groups are bonded directly to one or more heteroatoms."	
<http://purl.obolibrary.org/obo/SYMP_0000604>	"An abnormal chest sound that is characterized by breathing with difficulty usually with a whistling sound."	"UMLS_ICD9CM_2005_AUI:A0133941 UMLS_CUI:C0043144 ICD9CM_2005:786.07"
<http://purl.obolibrary.org/obo/MONDO_0005627>	"A primary or metastatic malignant neoplasm affecting the head and neck. Representative examples include oral cavity squamous cell carcinoma, laryngeal squamous cell carcinoma, and salivary gland carcinoma."	"UMLS:C0278996 DOID:11934 EFO:0006859 NCIT:C4013"
<http://purl.obolibrary.org/obo/GO_0002437>		
<http://purl.obolibrary.org/obo/MONDO_0003619>	"Acute or chronic inflammation of the fallopian tube. It is most often caused by Neisseria gonorrhoeae and Chlamydia trachomatis infections. The infections usually originate in the vagina and ascend to the fallopian tube. Symptoms include abdominal, pelvic, and lower back pain, pain during ovulation and sexual intercourse, fever, nausea, and vomiting. Complications include infertility and ectopic pregnancy."	"NCIT:C26880 DOID:5733 MESH:D012488 SCTID:88157006 UMLS:C0036130"
<http://purl.obolibrary.org/obo/UBERON_0004119>		
<http://purl.obolibrary.org/obo/MONDO_0007263>	"Any variation from the normal rate or rhythm (which may include the origin of the impulse and/or its subsequent propagation) in the heart."	"NCIT:C2881 SCTID:698247007 EFO:0004269 ICD9:427.9"
<http://purl.obolibrary.org/obo/GO_1901615>		
<http://purl.obolibrary.org/obo/UBERON_0005090>		
<http://purl.obolibrary.org/obo/MONDO_0004166>	"Fallopian tube carcinoma that has developed in relatives of patients that have a history of fallopian tube carcinoma."	"UMLS:C1512418 DOID:7266 NCIT:C40455"
<http://purl.obolibrary.org/obo/CHEBI_36309>		
<https://github.com/bmir-radx/gcbo/nih_heart_condition>		
<http://purl.obolibrary.org/obo/NCIT_C17214>		
<http://purl.obolibrary.org/obo/UBERON_0005754>		
<http://purl.obolibrary.org/obo/MONDO_0003392>	"A rare germ cell tumor that affects the fallopian tube. The vast majority of cases are teratomas."	"NCIT:C40130 DOID:5324 UMLS:C1517114"
<http://purl.obolibrary.org/obo/GO_0030219>		
<http://purl.obolibrary.org/obo/CHEBI_25046>		
<http://purl.obolibrary.org/obo/NCBITaxon_8287>		
<http://purl.obolibrary.org/obo/MONDO_0005043>	"An abnormal increase in the number of cells in an organ or a tissue with consequent enlargement."	"MESH:D006965 NCIT:C3113 EFO:0000536"
<http://purl.obolibrary.org/obo/UBERON_0000065>		
<http://purl.obolibrary.org/obo/NCIT_C18772>	"A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies."	
<http://purl.obolibrary.org/obo/GO_0044237>		
<http://purl.obolibrary.org/obo/CHEBI_77941>	"An EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor that interferes with the action of amidase (EC 3.5.1.4)."	
<http://purl.obolibrary.org/obo/MONDO_0003346>	"Vasculitis affecting the blood vessels of the brain and/or spinal cord."	"DOID:525 MESH:D020293 NCIT:C84622 UMLS:C0751878"
<http://purl.obolibrary.org/obo/MONDO_0021135>		
<http://purl.obolibrary.org/obo/NCIT_C199141>	"Groups that have a focus on health issues."	
<http://purl.obolibrary.org/obo/UBERON_0001264>		
<http://purl.obolibrary.org/obo/UBERON_0011899>		
<http://purl.obolibrary.org/obo/UBERON_0000062>		
<http://purl.obolibrary.org/obo/GO_0048729>		
